bno,title,name,cno,allerinfo,cdate,ingredients,content,types,meterials,image
1,"초간단 집에서 피자 만들기, 고르곤졸라, 토마토소스피자",-,-,"밀, 토마토",2018-09-09T23:45:18+09:00,"또띠아 2장,간마늘 1T,피자치즈 200g,토마토소스 2T","'먼저 고르곤졸라 피자를 만들꺼에요  팬에 또띠아를 올려주구요', '간마늘을 쫙 펴줄꺼에요.', '간마늘을 얇게 쫙 펴줍니다.', '피자치즈를 그위에 쫙펴주면 준비는 끝  여기서 치즈를 끝쪽은 조금 남기고  뿌려줍니다.  치즈가 녹으면서 흐를수 있으므로...', '팬 뚜껑을 덮고   3분정도 약불에 놓으면   요렇게 피자완성~~~', '요렇게 알맞은 크기로 잘라서   먹으면 됩니다.  꿀을 같이 찍어 먹으면 되지요  바삭하고 쭉 늘어나니 너무 좋아요.', '초 간단으로 집에서 만들어 먹는  고르곤졸라 피자에요.', '원하는만큼 치츠도 듬뿍 넣어  먹을수있는게 좋은거 같아요.  달달한 꿀과 함께 라면  맛있다는', '이번은 시판용 토마토 소스로 만드는  초간단 피자에요   시판용 토마토소스를  또띠아에 골고루 바른후', '피자치즈를 골고루 뿌려주고', '팬 뚜껑 덮고 약불에서 3분이면  완성!', '아이들은 요걸 너무 좋아하드라구요.  소스맛이 맛있는거 같아요', '피자피즈 쭉쭉 늘어나는거 보이나요?', '요것도 꿀을 콕 찍어 먹으면 좋아요.  아이들과 이렇게 해먹으면  좋을것 같아요.'",양식,가공식품류,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/d16ddc9e06e5aae7b45e526e31d25f5c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/116d1e577a435d4516dac39454b439591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/4408c895ebeb0ed83914abb96147d9d71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/1d7d9829d9fcf0dd4a17c5f013b428bd1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/2183bceae5cb7d69b82c7b60425d9a4e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/f22d92b6ceb7861722b1b90cb92243951.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/c0140110666dd857ccfa7f6546ebbb9a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/576c1455c822ce9fcfd6862d3ba5a4151.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/d128bd089a960b5ee7049f1c9a506e171.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/987fe02e24af2a47189c6b3ae2471e611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/8f03a394233c6b6aa2b36c3dfcc1e6321.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/788a305f44be73ec481d0484872642881.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/c89670b3946d560fd35cdf8d9f686d7d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/09/b5d3d2f1fce247e4b6c0f468379ce2d41.jpg'"
2,"일본가정식, 서양에는 없는 일본의 서양파스타 나포리탄 ( ´ ▽ ` )?",-,-,"돼지고기, 우유, 밀, 토마토, 달걀, 굴, ",2018-12-12T15:44:00+09:00,"스팸 1/2작은캔,청경채 2줄기,피망 1개,양파 1개,마늘 1개,버터 조금,파스타면 2인분,케찹 4비율,마요네즈 2비율,굴소스 1비율,치킨스톡 뜨거운물에 푼 것 1스푼,식초 1큰술","'자~ 들어갈 재료를 전부 도마 위에 보기 좋기 정렬 해보았어요! 지금 도마 위에 없는 것이 계란 두개와, 식초 한 큰술, 치킨스톡 (뜨거운 물에 푼것 종이컵 반에 반의 량) 이 없네요~ ㅎㅎ 재료를 손질해주세요. 케첩양은 마요네즈의 두배이고, 마요네즈는 굴소스의 두배입니다. *마요네즈를 넣는건 정말 비밀이예요! 너무 맛있어지거든요.', '물 1.5L 정도에 소금을 40g 정도 넣었어요. 바닷물 처럼 짜야 파스타가 맛있습니다. 밑간이지요! 저는 7분을 맞추어 두었는데, 사용하시는 파스타 면의 굷기나 성분의 차이나, 집집마다 화구의 열이 각각 다 다르기 때문에, 의미가 없습니다. 6분 이상 부터 30초 간격으로 조금 씩 꺼내서 드셔보시는게 가장 현명합니다.', '파스타 삶는 물에 청경체를 넣고 15초 정도 살짝 데쳤습니다. 그리고 마늘은 알갱이가 살짝 있도록 잘라두었어요. 너무 다져버리시면 햄이 익기 전에 타버릴 수 있기에 조금 굷게 다지시는게 좋습니다.', ""버터를 녹힌 팬에 마늘을 넣고, (마늘의 매운맛은 몇 초 후 다 빠집니다) 15초 후 즈음 스팸을 넣습니다. 팬을 손으로 들었다 놓았다 하면서 화력을 조절해 주세요. 전 약불로 은근하게 마늘의 향을 최대한 뽑아냅니다. 불조절의 미묘함이 '맛' 이라는 성의 기본을 탄탄하게 만들어줍니다."", '햄을 후라이팬이 1차적으로 다 피셔서 햄에서의 기름이 나오기 시작하면 마늘은 천천히 타게 될 것입니다! 그리고 기름이 나오는 순간 나머지 야채를 넣어주세요! 전 야채를 조금 밑간 하고 싶어서 소금 살짝이랑, 설탕 살짝 꼬집어서 넣어주었어요. (업장용은 이곳에 미원이나, 다시다, 혼다시 등을 살짝 꼬집어서 넣어주면 되요.)', '다 익혀둔 면을 넣습니다! 전 면을 삶을 때에 기름을 안넣는데요. 제발 넣지 말아주세요. 그냥 틈틈히 끓고있는 면을 잘 젓어주면 절대 엉켜붙지 않아요. 괜히 의미없는 부분으로 칼로리만 높아집니다 .. 미리 개어두었던 치킨 스톡을 지금 이 순간 면 위에 붓습니다. 면을 잘 풀어주고요, 마늘이 더 이상 타지 않고, 채소들도 한껏 채수를 내뱉어 줄 것입니다. 치킨 스톡으로 면에 기본 향을 입힐 수 있기 때문에, 파스타를 먹는 내내 100% 꽉찬 맛을 느낄 수 있어요. 그 팁은 맛을 켭켭히 쌓기입니다.', '미리 담아두었던 나포리탄 소스를 붓습니다. 그리고 식초를 반 큰술(식성에 따라 한큰술까지)을 넣어줍니다. 식초를 많이 넣는다고 많이 시거나 하지 않습니다. 식초가 들어가야 정말 나포리탄입니다. 그래서 입맛 없을 때 먹으면 정말 맛나요. 재료 전체가 다 익혀진 것이기에 소스가 뭍을 정도만 볶아주고 불을 꺼주세요.', '반들반들 닦아 두신 접시에 토핑으로는 남은 스팸 한 조각과 계란 후라이, 그리고 치즈 그라나파다노 를 갈아주세요~ 대치고 남은 청경체 꼭따리는 장미랍시고 올려두었습니다 ^^;;'",양식,가공식품류,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/e5af06d1e3ce2db8be172bc35e539eb01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/9483aefbfeb4a90ea52b31595a307ed91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/555691a2dccf3c91904c847191394d0d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/dee47188b7b2a9860a66cb9ef21c9f071.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/5cf1fc85e2ac9ecf06c40b34de6b7da61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/12bc5988787d279f389f9ae7bb627bbf1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/c6a9d59d0af6fb2cd70d29f57adbd3b71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/69520b01ab06c9cedf6d1494026cef751.jpg'"
3,건강 가지를 스테이크로 즐겨요.,-,-,대두,2016-05-03T08:40:46+09:00,"가지 3개,고추장 2숟가락,마늘 1숟가락,설탕(적은) 1숟가락,올리고당 1숟가락,참기름 2숟가락,참깨 솔솔","'가지는 단단하고 보라색이 진한것 좋아요..  깨끗하게 씻어 주어요.', '가지를 반으로 잘라서 칼집을 내어요.  너무 깊게 내면 찢어 질수가 있으니 조심.. (벌집 모양처럼)', '가지스테이크 소스를 만들어 줄거예요.  고추장2, 마늘1, 설탕1,올리고당1, 참기름2, 참깨 넣고  * 맛을 보아 조절 하세요..', '팬에 참기름을 조금 두르고 살짝 구었어요.  * 약불에서 구어 주어요.', '가지살이 살짝이 이렇게 익으면 된답니다.  * 너무 물러도 좋지 않아요.', '만들어둔 양념을 가지살에 살살 발라 주어요.', '양념이 다 발라졌다면 뒤집어서..  아주 살짝이 양념이 배이면서 익도록 해요.(1~2분정도)  * 불조절 약약불로.. 그렇지 않으면 탈수가 있어요.', '접시에 한꺼번에 담아서 먹었지만..  접시에 가지 스테이크 담고, 밥을 담아서 드셔도 좋을듯 합니다.'",양식,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/31860314ea33809b5f0bdaae044624591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/a711aa682e3a870d4bbd92f651cea9ad1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/37ba9226e88fcf1174a3518c355717d21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/ad72dfcd64a7fb36e6f20c4adf4aaf871.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/defd8e7a126f0768471bbf354c9879671.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/54b50c984a9d01c9ac2f62af0c9087f61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/1e5b4a9c26963f99bfc035e62b8713ac1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/03/28dc98dd289a28026d3c7747b30154b91.jpg'"
4,두툼한 패티가 매력적인 수제 햄버거,-,-,"돼지고기, 소고기(쇠고기), 우유, 밀, 토마토, 달걀, 대두",2013-10-20T18:02:52+09:00,"돼지고기갈은것,소고기갈은것,양파,피클,파프리카,치즈,햄버거빵,양상추,마요네즈,토마토,빵가루,설탕,간장,올리고당","'양상추와 토마토는 준비해서 물기를 안벽하게 빼 주세요.  양파와 파프리카는 다져서 준비,  양파, 파프리카, 당근, 등등등! 취향껏 맞는 재료를 사용!', '돼지고기와 소고기는 1:1 로 준비 해서 맛술, 매실, 소금, 후추를 약간씩 넣고 밑간 해 주기.', '야채 볶아 수분 날리기!  양파와 파프리카는 쎈불에 휙~ 볶아 수분을 날려주기.', '밑간 된 고기에 볶음 야채, 빵가루 두세숟가락 (질기 정도에 맞춰) 넣어 반죽하기!', '볼에 재료를 모두 넣어서 고루고루 섞이도록 치대주기!  이때 빵가루를 이용해서 질기를 맞춰주면 되요!', '다 섞여 잘 쳐진 패티는 동그랗게 모양 만들기', '하나씩 개별 포장 해서 놓으면 나중에도 또 쓸 수 있겠죠?', '패티는 기름 두른 팬에 앞뒤 골고루 구워주고,', '빵도 앞 뒤 구워주기.  렌지에 살짝 돌리셔도 되요!', '다음은 소스 만들기!  간장6, 설탕4, 올리고당2, 물3 밥 숟가락으로 넣고 달달달달~~~~~~ 졸여주세요.  취향껏 짠맛, 단맛 가감 하기~~~ㅎㅎ 푹~~~ 졸이다 보면 걸죽하게 변해있을꺼예요.  그럼 불을끄고, 잠시 식혀두면 올리고당이랑 설탕이 들어가서 묽었던 소스가 걸죽하게 변해요,', '- 구운 빵에는 마요네즈를 발라주기.  - 양상추도 올리고,  - 토마토도 올리고,  - 패티도 올리고 소스 발라주기.  - 치즈 올리고,  - 피클 올리고,  - 소스 바른 빵을 위에 덥으면 끝!', '쨔잔! 수제 햄버거 완성!  수제 햄버거의 매력은 역시 두둑한 패티죠?  한입에 안들어 갈 듯한 그 패티 ㅋㅋㅋ'",양식,육류,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/890f5d1d4df1d1f866c375f62350c6601.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/187217e42c560d01e24881e8a732a9391.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/d06ba73f7528ee66fc8eab6d60aa0cb21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/b201ed0e2a7d3243a790d848c4a786131.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/6516d66342a5fa574431408b3aae03e71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/d9863760437fd4719292ab1276d417e71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/1d5a9727c67cc006ee941838cd861bd61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/d52e57d386e5575bcb47ae83395b06241.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/31f1d127f4848fbecdc2c0e07bf0d6a91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/e28c3b2267f9b189c215968f02edf73a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/0afae28b3e23af0bcf48c9d7376592d11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/2ece73ee2d2267b92b13864cb5356b961.jpg'"
5,감자튀김 만들기 :: 에어프라이어로 간단 감자요리,-,-,밀,2021-05-23T12:49:42+09:00,"감자 중 3개,식물성 오일 2큰술,튀김가루 3큰술,소금 약간,후추 약간,파슬리 약간","'먼저 감자는 껍질을 벗겨, 1cm 두께로 채 썬 후, 30분 쯤 물에 담궈 전분를 빼줍니다.', '그런 후 키친타월로 물기를 꼼꼼하게 닦아주세요. \u200b', '물기 제거한 감자를 오일로 버무린 뒤,', '튀김가루나 부침가루, 파슬리 약간에 버무려줍니다.', '에어프라이어 바스켓에 넓게 펼친 후,200도에서 10분 정도 조리하다가, 한번 뒤집어 준 후,', '200도에서 10분 더 구워줍니다. 200도에서 총 20분 정도 조리해주세요. 조리 시간은 취향에 따라 5~10분정도 가감이 가능합니다.', '다 구워진 감자튀김에, 소금 약간과 후추 약간을 넣어 섞어주면 완성~! \u200b 소금은 튀김가루에 가미가 되어 있어서, 추가 안하셔도 간이 맞을 듯해요. 취향에 따라 가감하세요~ \u200b'",양식,체소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/8b8350b4f412ce413ca467aa00f950e61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/d386605a663c6e4bd6079fba27ff3c461.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/a9a46c1cb613d02ad8ae233bf619a0191.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/e2025ea6431c04e15d23ab415c0c72f81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/e9fea3eb26efa452c8d71674763584ee1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/4cf7fa7d08cf64ee2aafb1d309b4e4a21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/05/23/9d614581139e912c1962ec014a0bb5a81.jpg'"
6,"겉은 바삭, 속은 촉촉한 에어프라이어치킨♪",-,-,"닭고기, 밀",2018-08-09T19:11:44+09:00,"생닭 1마리(600g),맥주 1캔,튀김가루 1컵,카레가루 1스푼,허브솔트 1스푼,다진마늘 2스푼,식용유 1스푼","'생닭을 준비, 분술물 및 잡내를 없애기 위해 캔맥주 1개를 따서 생닭에 부어주고 20분간 기다립니다.', '맥주에 담궈둔 생닭은 20분 뒤에 찬물에 한번 씻어주고 물기를 뺀 다음, 분량의 양념을 넣어주세요.', '비닐장갑끼고 잘 버무려주고요~ 숙성을 위해서 20분간 그대로 둡니다.', '비닐팩에 튀김가루 1컵을 넣어줍니다.', '양념에 버무려놓은 생닭을 튀김가루가 들어있는 비닐팩 안에 같이 넣어주고요~', '한손으로는 비닐팩 입구를 잡고 한손으로는 튀김가루가 골고루 입혀지게 툭툭 치면서 흔들어 줍니다.', '간단하게 튀김가루 입히기 완성!!', '튀김가루를 입히고 난 후에는 붓을 이용해 식용유를 전체적으로 한번 더 발라주세요. 이렇게 해야 튀김옷이 바삭해지고 치킨도 더 맛나게 만들어져요.', '이제 에어프라이어를 준비하고 튀김기 아래 분리되는 통, 즉 기름이 빠지는 곳에는 종이호일을 깔아주세요.', '양념 후 기름을 바른 생닭을 모두 넣어줍니다. 그리고 180도에서 15분간 돌려주세요. 15분이 지나면 닭을 한번 뒤집고 다시 한번 더 15분간 돌려주고요~', '총30분이 지나면 노릇노릇하게 잘 익은 바삭하면서도 촉촉한 치킨이 완성됩니다.'",메인반찬,닭고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/72faae479abe18f540e2f5145f6fe5891.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/638c7122c8a1be460301612df37e817d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/1363d6916ac9d68af31c07726ce862df1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/425fc5c7d373abf5f8c33af3168bcd1b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/05dcea9106ee1fb59204945fe1d095981.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/46c9adf8707407c0bfa691a7901a1a851.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/6aa6de618e0e6245ab4439ebad62afbb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/c92033bfeab543f984212fa9587408aa1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/cc90e2de2425dc42bed1dad61ea884381.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/4ceb34ad0fd2fdf0521b89d20295d1af1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/08/09/684c7e36eea16d1cf63061ec247640191.jpg'"
7,초밥용 밥 만들기 초밥 단촛물 레시피,-,-,,2022-08-02T12:35:07+09:00,"공기밥 400g,식초 4T,설탕 2T,소금 0.9T","'밥그릇 정도 되는 크기에 식초 4T 넣어주세요.', '설탕 2T 넣습니다.', '소금 0.9T 넣어주세요.', '설탕과 소금이 잘 녹도록 저어주세요.', '공기밥 2인분(400g) 위에 부어서 잘 섞어주면 초밥용 밥이 완성 됩니다.'",양념/소스/잼,쌀,"'https://recipe1.ezmember.co.kr/cache/recipe/2022/08/02/373b2114c668c37c688aa71a483707ac1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/08/02/192a3656bd8a3a774a6d519ecbed96fd1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/08/02/c612b8e4f7ea72b1d0df3f46af92134d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/08/02/c44515a4bb2d550a44592527ba4a92191.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/08/02/c822894b8ba9b9a324d65ef832a59e371.jpg'"
8,굴소스마요라면 만들기,-,-,"밀, 우유, 굴, 우유, 달걀",2015-09-05T00:15:10+09:00,"라면 1인분,파 약간,청양고추 1개,라면수프 1/2개,굴소스 2T,버터 약간,마요네즈 취향껏","'라면을 3분정도 끓여줍니다', '물은 약간만 남기고 버리고 라면수프 반개를 넣어 잘 섞어줍니다', '굴소스를 넣어서 섞어주고', '국물이 자작자작해지면 버터를 넣습니다', '파를 넣고 잘 볶아준 후 불을 끕니다', '마요네즈와 청양고추를 위에 얹으면 완성 +_+'",면/만두,가공식품류,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/389a013756482169b88986182bd902571.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/7c1ccbba7fc2f33e564cdbcc839d050e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/ae52c11cd1f38840486d2fed2b19101d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/8eec9ab4366517c2e8e3c1ed6d7bd02d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/84859bc8f0166c9972341195c76a80891.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/83cc20cc817b1bf2b32aec59fc284f7b1.jpg'"
9,"백선생, 백종원 중국집 짜장면 만들기~!",-,-,"돼지고기, 밀, 달걀",2015-11-25T00:21:24+09:00,"양파 1개,양배추 1/5개,돼지고기 200g,오이 1/3개,파 2줄기,파스타면 2인분,춘장 1/3컵,설탕 1T,물전분 3T","'후라이팬에 식용유 2컵을 붓고 춘장 1봉지를 넣고 기름에 춘장을 튀겨줍니다.', '짜장면 야채를 준비합니다.  오이는 돌려깎이해서 채썰고(고명용) 양배추와 양파는 큼직큼직 썰어주고 파는 잘게 잘게 썰어서 준비합니다.', '불을 켜지 않은 후라이팬에 식용유를 붓고 파를 넣고 볶아서 파기름을 내줍니다.', '파기름이 얼추 나면 잘게 썰어 놓은 돼지고기를 넣고 볶아줍니다.', '고기가 익으면 오이를 제외한 양배추와 양파를 넣고 볶아줍니다.', '튀긴 춘장을 1/3컵 정도 넣고  설탕 1T를 넣고 볶아줍니다.', '춘장이 야채와 고루 섞이게 볶아줍니다. 이때 먹으면 흔히보던 간짜장이 됩니다.', '물을 재료가 자박자박 할때까지 넣어줍니다.  끓여 주다가 물 : 전분 = 3 : 1로 타준 전분물로 짜장의 농도를 걸쭉하게 만들어 줍니다.', '중화면을 대체하기 위한 파스타 면을 소금 1T를 넣고 2인분 정도 13분 삶아 줍니다. 면이 익으면 그릇에 면을 셋팅하고 위에 짜장을 부어주고 오이 고명을 올려주면 완성!'",면/만두,쌀,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/d4686a8d0c6182c2353fb2ded386fa821.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/817cdf812cb6c8cd16001bc5c1db0ad21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/8e34694146dde42a0d82daee3ed963041.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/2edfb615a6642ee98ddbf6f4d719195c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/f43835354b082e79ba06c7381609c8861.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/4e9c9f1cd130edf4dbf069bb155bc4491.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/647f245ceebf83d8b9e6228cd3ae1b9a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/ab51963b5d1219674d16488c87bd4c011.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/11/25/9fe12c206df3f60a77b3a48f8e1fe28c1.jpg'"
10,생생정보통 황금레시피-김밥만들기,-,-,"돼지고기, 생선, 달걀, 대두",2016-02-21T17:56:46+09:00,"밥,김밥용 김 12장,햄 8개,단무지 8개,오이 1+1/2개,당근 1개,어묵 2장,계란 3개,맛살 4개(생략가능),참기름,소금,간장,맛술,물엿","'쌀과 물의 비율은 1:1 저는 쌀의 양을 머그컵으로 한 컵 반 정도 했는데 6줄 싸고 좀 남더라고요. 재료가 남아서 햇반 1개를 더해서 총 8줄을 만들었어요. 쌀의 양을 종이컵 기준으로 4컵 잡으시면 8~9줄 정도 싸실 수 있어요.', '계란 3개를 풀어 소금 약간 물 2큰술을 넣어 계란말이 하듯이 두툼하게 지단을 만들어 길게 썰어 준비해주세요', '당근은 채 썰어 끓는 물에 30초 데친 뒤 찬물에 헹궈 물기를 제거 한 다음 소금 간을 해주세요. 당근을 볶지 않고 데치는 것이 당근의 아삭한 식감을 살리는 포인트라고 해요.', '오이는 돌려 깎아 채 썰어 주시고요. 이때 밑간은 따로 하지 않고요. 씨부분은 수분이 많아 사용을 하지 않는다네요.', '어묵은 두껍게 채 썰어 기름에 볶다가 설탕 반큰술 간장 1큰술 맛술 1큰술 물 반의 반컵을 넣고 물이 졸아들때까지 1분 정도 센불에서 졸여주세요.', '햄은 그냥 사용해도 되지만 전 살짝 데쳐서 사용했고요. 황금레시피에선 햄 2개를 사용했는데 저는 맛살이 있어서 햄 1개 맛살 반개씩 넣었어요.', '단무지와 우엉은 세트로 파는 것을 구매해 사용했어요. 혹시 생우엉을 사용하신다면 우엉 20개 기준으로 껍질을 벗기고 길쭉하게 잘라 설탕 2큰술 간장 3큰술 맛술 3큰술물엿 3큰술 물 반컵을 넣고 조려주면 된다네요.', '마지막으로 밥이 다 되었다면 참기름과 소금의 비율을 3:1로 해서 섞어준 뒤 한 김 식혀주세요.', '김밥을 싸실때 김의 거친 면 위에 밥을 펴 주시면 되는데요. 밥의 양은 밥공기로 반공기 정도가 적당하다고 해요. 최대한 얇게 펴주시고요.', '김 반장을 위에 한번 더 깔아주세요. 재료에서 나오는 수분으로 김밥이 축축해지는 걸 막아주고 각 재료의 식감을 잘 느낄 수가 있다네요.', '속재료는 오이->당근->우엉->어묵->햄2개->계란 지단-> 단무지 순으로 올려주세요. 당근과 오이는 듬뿍 넣고 어묵도 양이 많아 듬뿍 우엉은 2~3개 정도 햄1개 맛살 반개 계란 지단 1개 단무지 1개 넣었어요. 이제 김발을 이용해 잘 말아주세요.', '김밥에 참기름도 살짝 발라주고요. 칼에도 참기름을 살짝 발라서 살살 톱질하듯 슥슥슥슥~썰어주시면 완성입니다.'",밥/죽/떡,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/bb2f4c062b47811617711108ad8e34b51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/598470ead8145462daa2720eb11c31231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/a6e8b06691908bb1b77062e89d913a1d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/deefd04c15461d5c81f00344a57fbb671.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/52558884d648c7f4455cea449ba01c751.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/52a2c16c6b6bdbf945fa9e800bdc1fad1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/3337d6420cd146ec74402176227f38031.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/6e8119f7d75dea77b8a12d10248753a31.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/992afc2721a1f234dfe739d0e421129a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/b39f8e1c1a30c0f70308a63715a5b17f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/7114d7e327df170a7de5a2c16bdb42c61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/21/ba6f486bd2a8ac08bad2aff73888aaa51.jpg'"
